LRT (lrt.lt),IPs,7750,LRT,Great Synagogue of Vilna,IP-1,-3
LRT (lrt.lt),IPs,4143,LRT,COVID-19 pandemic in Lithuania,IP-2,2.33
LRT (lrt.lt),IPs,4143,LRT,COVID-19 pandemic in Lithuania,IP-3,3
LRT (lrt.lt),IPs,4143,LRT,COVID-19 pandemic in Lithuania,IP-4,3
LRT (lrt.lt),IPs,7547,LRT,Face masks during the COVID-19 pandemic in the United States,IP-5,3
LRT (lrt.lt),IPs,7547,LRT,Face masks during the COVID-19 pandemic in the United States,IP-6,-3
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-7,3
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-8,-2.33
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-9,3
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-10,-3
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-11,2.5
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-12,3
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-13,2.25
LRT (lrt.lt),IPs,4582,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-14,-2.25
LRT (lrt.lt),IPs,3756,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-15,3
LRT (lrt.lt),IPs,3756,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-16,-3
LRT (lrt.lt),IPs,3756,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-17,3
LRT (lrt.lt),IPs,3756,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-18,3
LRT (lrt.lt),IPs,5592,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-19,3
LRT (lrt.lt),IPs,5592,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-20,-3
LRT (lrt.lt),IPs,5592,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-21,3
LRT (lrt.lt),IPs,5592,LRT,Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-22,3
LRT (lrt.lt),IPs,7918,LRT (lrt.lt),Great Synagogue of Vilna,IP-23,3
LRT (lrt.lt),IPs,7918,LRT (lrt.lt),Great Synagogue of Vilna,IP-24,2
LRT (lrt.lt),IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-25,-2.5
LRT (lrt.lt),IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-26,-3
LRT (lrt.lt),IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-27,-2.67
LRT (lrt.lt),IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-28,-3
LRT (lrt.lt),IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-29,3
LRT (lrt.lt),IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-30,3
LRT (lrt.lt),IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-31,3
LRT (lrt.lt),IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-32,-3
